source,target,score
UBERON_0000002,M0003947,0.8495489631149481
UBERON_0000002,M0022473,0.6881626494775279
UBERON_0000002,M0022439,0.6369221719767124
UBERON_0000002,M0020308,0.5864438341597537
UBERON_0000002,M0592805,0.558454084190769
UBERON_0000002,M0007561,0.5570317168679093
UBERON_0000002,M0524978,0.545926702146738
UBERON_0000002,M0004341,0.5308472195537216
UBERON_0000002,M000740445,0.5234871178614074
UBERON_0000002,M0001526,0.522627358189636
UBERON_0000006,M0011741,0.7727955805765357
UBERON_0000006,M0015790,0.6429263978965271
UBERON_0000006,M0029492,0.5682035334934498
UBERON_0000006,M0475038,0.5645316634038066
UBERON_0000006,M0011743,0.564484332151218
UBERON_0000006,M0336842,0.5630915054256822
UBERON_0000006,M0029518,0.5244987110071043
UBERON_0000006,M0011742,0.5243221808472611
UBERON_0000006,M0015796,0.5151993428234457
UBERON_0000009,M0020652,0.6551100656755103
UBERON_0000009,M0011572,0.558441405376841
UBERON_0000009,M0472875,0.5567813370774636
UBERON_0000009,M0593630,0.5510482805246714
UBERON_0000009,M0012778,0.5494563734674828
UBERON_0000009,M0472886,0.5490749597124669
UBERON_0000009,M000612954,0.5459899438769805
UBERON_0000009,M0014357,0.5430518168674756
UBERON_0000009,M0007395,0.5362378214713038
UBERON_0000009,M0020671,0.533660296202061
UBERON_0000010,M0027092,0.8466809623270205
UBERON_0000010,M0016349,0.7502931546559968
UBERON_0000010,M0014665,0.7161343589949944
UBERON_0000010,M0015922,0.6575693626962136
UBERON_0000010,M0016374,0.5897198879173497
UBERON_0000010,M0020944,0.582467834911796
UBERON_0000010,M0003801,0.5777787519459469
UBERON_0000010,M0019523,0.5768343724021396
UBERON_0000010,M0020324,0.574095881504932
UBERON_0000010,M0464456,0.5606625468265816
UBERON_0000014,M0019925,0.5266911630444256
UBERON_0000016,M0015790,0.7227955717261875
UBERON_0000016,M0336842,0.7147567367108187
UBERON_0000016,M0011741,0.6381790793375496
UBERON_0000016,M0029492,0.6283121268409714
UBERON_0000016,M0011743,0.6027111457888557
UBERON_0000016,M0475038,0.601329281130793
UBERON_0000016,M0011742,0.5553741884025559
UBERON_0000016,M0000489,0.5393892937952928
