source,target,score
M0000009,UBERON_0002378,0.9317286240745872
M0000009,UBERON_0002461,0.9008967060582664
M0000009,UBERON_0035032,0.8274528270188798
M0000009,UBERON_0003833,0.8271837342510563
M0000009,UBERON_0002382,0.8187098444077348
M0000009,UBERON_0003697,0.7932940774871202
M0000009,UBERON_0001221,0.7675213036661512
M0000009,UBERON_0005442,0.7618782404915084
M0000009,UBERON_0002417,0.7303617032603246
M0000009,UBERON_0011016,0.6934019932272424
M0000010,UBERON_0001646,0.9499501056182164
M0000010,UBERON_0001643,0.7286404586848687
M0000010,UBERON_0001603,0.723787075628878
M0000010,UBERON_0001644,0.7048197328420508
M0000010,UBERON_0006322,0.6827792774245451
M0000010,UBERON_0006532,0.6721737993271202
M0000010,UBERON_0006531,0.6700157652828744
M0000010,UBERON_0001601,0.6669165867671399
M0000010,UBERON_0006320,0.6570063416744492
M0000010,UBERON_0006323,0.6568036504428076
M0000076,UBERON_0000476,0.528045983186726
M0000076,UBERON_0005764,0.5101722548122968
M0000076,UBERON_0034922,0.5005074783379241
M0000081,UBERON_0001785,0.768833536966388
M0000081,UBERON_0011779,0.7416948752033762
M0000081,UBERON_0001647,0.7184792327859147
M0000081,UBERON_0035642,0.6920273938918131
M0000081,UBERON_0000962,0.6916798598849209
M0000081,UBERON_0003725,0.6903962275347868
M0000081,UBERON_0011326,0.6757100517632624
M0000081,UBERON_0001759,0.667973128150028
M0000081,UBERON_0001650,0.6579252986988274
M0000081,UBERON_0008229,0.6569905231459686
M0000110,UBERON_0001464,0.7898482669706265
M0000110,UBERON_0006767,0.7739075350002198
M0000110,UBERON_0008202,0.7373696590756643
M0000110,UBERON_0001274,0.7019964718130046
M0000110,UBERON_0001275,0.6961603952867536
M0000110,UBERON_0003826,0.6771714751188672
M0000110,UBERON_0001270,0.6725527058739216
M0000110,UBERON_0007832,0.6698913393594702
M0000110,UBERON_0007830,0.6517803927436516
M0000110,UBERON_0007119,0.6510218424082649
M0000199,UBERON_0001450,0.7224011605013418
M0000199,UBERON_0015014,0.6521553013435876
M0000199,UBERON_0001389,0.6337105095785797
M0000199,UBERON_0001665,0.6209326548606391
M0000199,UBERON_0001388,0.613039281931047
M0000199,UBERON_0002395,0.6054573804921061
M0000199,UBERON_0011907,0.6039240750068857
M0000199,UBERON_0000979,0.6025783612769525
M0000199,UBERON_0011908,0.5965755746556037
M0000199,UBERON_0015050,0.5874131946781858
M0000241,UBERON_0001648,0.9358425070951949
M0000241,UBERON_0002824,0.769937961396732
M0000241,UBERON_0007228,0.7604159355230169
M0000241,UBERON_0001785,0.6381503059219816
M0000241,UBERON_0011779,0.6243869411720467
M0000241,UBERON_0035648,0.6171873192749774
M0000241,UBERON_0001647,0.6171638835771228
M0000241,UBERON_0018231,0.6074574181818323
M0000241,UBERON_0001759,0.6046822339232081
M0000241,UBERON_0008833,0.599854848030182
M0000262,UBERON_0001105,0.6913217671616321
M0000262,UBERON_0003461,0.6634724693477011
M0000262,UBERON_0006633,0.6472661408324365
M0000262,UBERON_0006805,0.6453066414583064
M0000262,UBERON_0001395,0.6336893165184363
M0000262,UBERON_0006849,0.6258314344899719
M0000262,UBERON_8600074,0.619602587152596
M0000262,UBERON_0004905,0.6095548204184825
M0000262,UBERON_0002217,0.5977530212293828
M0000262,UBERON_0007172,0.5930774654079163
M0000263,UBERON_0006633,0.7533943224708265
M0000263,UBERON_0006849,0.7466811989763424
M0000263,UBERON_0003461,0.6772684588778081
M0000263,UBERON_0007172,0.6771668462740962
M0000263,UBERON_0001105,0.670713454961482
M0000263,UBERON_0001395,0.6693450199117145
M0000263,UBERON_0007175,0.6655546333284307
M0000263,UBERON_0007176,0.6650589551358206
