source,target,score
UBERON_0000946,M0009974,0.8804770638459779
UBERON_0000946,M0001553,0.7292650252238655
UBERON_0000946,M0013957,0.7278839263145961
UBERON_0000946,M0021947,0.6585067446507037
UBERON_0000946,M0009941,0.6067279416061742
UBERON_0000946,M0009936,0.5924221232119058
UBERON_0000946,M0008401,0.5873684004727883
UBERON_0000946,M0328425,0.5797461760791666
UBERON_0000946,M0009948,0.5698014866872718
UBERON_0000946,M0400431,0.5662592422109709
UBERON_0000948,M0009936,0.6684188469022364
UBERON_0000948,M0008401,0.6539780851053146
UBERON_0000948,M0009974,0.6457275913939771
UBERON_0000948,M0014344,0.6302869026951063
UBERON_0000948,M0009941,0.6261362530188667
UBERON_0000948,M0400431,0.6195953702356705
UBERON_0000948,M0009975,0.6190422311786072
UBERON_0000948,M0400427,0.615492278321902
UBERON_0000948,M0009948,0.5987027782778344
UBERON_0000948,M0501517,0.59368578742327
UBERON_0001621,M0009936,0.5766008892573781
UBERON_0001621,M0022051,0.5611708817604357
UBERON_0001621,M0001553,0.5409206357154491
UBERON_0001621,M0328425,0.5321115031028513
UBERON_0001621,M0009941,0.5156175638366225
UBERON_0001621,M0007395,0.5069076430853064
UBERON_0001621,M0009974,0.5031611131760185
UBERON_0001625,M0009975,0.5499891238111339
UBERON_0001626,M0009975,0.5435196523456044
UBERON_0001626,M0013957,0.5103946646137832
UBERON_0002078,M0009975,0.6812053407405548
UBERON_0002078,M0009941,0.6120715072519723
UBERON_0002078,M0013957,0.6052536732010251
UBERON_0002078,M0009974,0.5588814726990262
UBERON_0002078,M0009936,0.5432601619917747
UBERON_0002078,M0001553,0.5426211097495628
UBERON_0002078,M0009948,0.536620427331831
UBERON_0002078,M0021947,0.5341486168952907
UBERON_0002078,M0328425,0.5337900078954287
UBERON_0002078,M0018141,0.5328691206717394
UBERON_0002079,M0013957,0.6561261034695206
UBERON_0002079,M0009975,0.6557168836452494
UBERON_0002079,M0009941,0.6128051676752341
UBERON_0002079,M0021947,0.6021603543924499
UBERON_0002079,M0009974,0.5735915772213002
UBERON_0002079,M0328425,0.5706221758975873
UBERON_0002079,M0018141,0.5581729492976412
UBERON_0002079,M0009936,0.5565918034502405
UBERON_0002079,M0001553,0.5557047775737751
UBERON_0002079,M0009948,0.5397223294425466
UBERON_0002080,M0009975,0.6774639720256518
UBERON_0002080,M0013957,0.6508630987680669
UBERON_0002080,M0009974,0.5921473839258031
UBERON_0002080,M0018141,0.5874431808142445
UBERON_0002080,M0501517,0.5782454047364064
UBERON_0002080,M0021947,0.5597675225984471
UBERON_0002080,M0009941,0.5575716371323309
UBERON_0002080,M0328425,0.5557479084496406
UBERON_0002080,M0001553,0.5493165597880787
UBERON_0002080,M0008401,0.5462965297282455
UBERON_0002081,M0009941,0.7710912226080362
UBERON_0002081,M0328425,0.7034297089106548
UBERON_0002081,M0009974,0.6954442804762578
UBERON_0002081,M0013957,0.6914115296173259
UBERON_0002081,M0001553,0.6535511905365086
UBERON_0002081,M0009948,0.607990764566803
UBERON_0002081,M0021947,0.5911251597754841
UBERON_0002081,M0008401,0.5880109104676701
UBERON_0002081,M0009936,0.5758662679301662
UBERON_0002081,M0400431,0.5714517086005709
UBERON_0002082,M0009975,0.7270345159290414
UBERON_0002082,M0009941,0.666800320981801
UBERON_0002082,M0501517,0.6618216458408254
UBERON_0002082,M0009974,0.6444587090233657
UBERON_0002082,M0013957,0.6009641217352126
UBERON_0002082,M0009969,0.5736530045692041
UBERON_0002082,M0007395,0.5571910022208295
UBERON_0002082,M0008401,0.5559509446553761
UBERON_0002082,M0001553,0.5550267194694367
UBERON_0002082,M0501516,0.55208404591394
UBERON_0002084,M0013957,0.675901044939979
UBERON_0002084,M0009975,0.6513342514490345
UBERON_0002084,M0021947,0.6158154341620264
UBERON_0002084,M0009974,0.6077188038663153
UBERON_0002084,M0018141,0.5743768523069381
UBERON_0002084,M0008401,0.5741137835882896
UBERON_0002084,M0001553,0.5727752979581948
UBERON_0002084,M0328425,0.5591006769281425
UBERON_0002084,M0501517,0.5533931330483264
UBERON_0002084,M0009941,0.5418132697458368
UBERON_0002094,M0501517,0.8114672864039967
UBERON_0002094,M0501516,0.7892097478350543
UBERON_0002094,M0009969,0.7520841773850886
UBERON_0002094,M0007395,0.6127163183306853
UBERON_0002094,M0009975,0.5680202098738732
UBERON_0002099,M0009969,0.8896027372014891
UBERON_0002099,M0501516,0.8522747621472117
UBERON_0002099,M0501517,0.823250672038181
UBERON_0002099,M0007395,0.6254081589472066
UBERON_0002099,M0501519,0.5322244431861649
UBERON_0002099,M0009941,0.5144465689133091
UBERON_0002099,M0014344,0.5090077260867698
UBERON_0002099,M0009974,0.5029706333313984
UBERON_0002133,M0001553,0.6659862134236418
UBERON_0002133,M0009974,0.6132532139045348
UBERON_0002133,M0009941,0.5793193082046513
UBERON_0002133,M0001928,0.5661200639123037
UBERON_0002133,M0501517,0.5461464880254703
UBERON_0002133,M0013957,0.530175969071955
UBERON_0002133,M0501516,0.5195038084954015
UBERON_0002134,M0021947,0.8234751252818255
UBERON_0002134,M0013957,0.6450540557925216
UBERON_0002134,M0001553,0.614526543966875
UBERON_0002134,M0009974,0.602354563006001
UBERON_0002134,M0328425,0.5880072841263149
UBERON_0002134,M0009941,0.5872719240139237
UBERON_0002134,M0018141,0.5497442110631617
UBERON_0002134,M0009975,0.5007415518082794
UBERON_0002135,M0013957,0.8447546367066671
UBERON_0002135,M0021947,0.6596146399019991
UBERON_0002135,M0009941,0.6570003422440076
UBERON_0002135,M0009974,0.6535077813654713
UBERON_0002135,M0001553,0.6337921963011474
UBERON_0002135,M0328425,0.6116097085492245
UBERON_0002135,M0018141,0.565260908187317
UBERON_0002135,M0009975,0.5319276331256312
UBERON_0002135,M0501516,0.5276967664218419
UBERON_0002135,M0501517,0.5105437077665231
UBERON_0002137,M0001553,0.6284139351759054
UBERON_0002137,M0021947,0.6222802421356664
UBERON_0002137,M0013957,0.5935403722986005
UBERON_0002137,M0009974,0.5887181852924135
UBERON_0002137,M0328425,0.5760561839208997
UBERON_0002137,M0501519,0.5350425684487822
UBERON_0002137,M0004331,0.5044763042260686
UBERON_0002146,M0018141,0.800868276496081
UBERON_0002146,M0013957,0.6820585044953372
UBERON_0002146,M0021947,0.6346875754225659
UBERON_0002146,M0001553,0.6002409592472183
UBERON_0002146,M0009974,0.5987073336708539
UBERON_0002146,M0009975,0.5370935524864362
UBERON_0002146,M0501517,0.5205856967560517
UBERON_0002348,M0016307,0.7278372617026848
UBERON_0002348,M0007395,0.6683905654195788
UBERON_0002348,M0009969,0.6301963916633944
UBERON_0002348,M0501517,0.5850409784548893
UBERON_0002348,M0501516,0.5779365215387627
UBERON_0002348,M0501519,0.5398605243317927
UBERON_0002348,M0014344,0.5396858026781686
UBERON_0002348,M000605189,0.532150177319283
UBERON_0002348,M0009941,0.521698407087439
UBERON_0002348,M0001928,0.5000795272645686
UBERON_0002351,M0019898,0.8462095304270764
UBERON_0002351,M0001928,0.6923420467629133
UBERON_0002351,M0003026,0.5419119784197892
UBERON_0002351,M0004331,0.5239567340412006
UBERON_0002351,M0014344,0.5117173279530437
UBERON_0002351,M0501517,0.5015189548290853
UBERON_0002352,M0001928,0.8197810956468603
UBERON_0002352,M0019898,0.6888778702950117
UBERON_0002352,M0003026,0.5063690804748383
UBERON_0002353,M0003026,0.812536060641278
UBERON_0002353,M0014344,0.5561715104030553
UBERON_0002353,M0001928,0.5483111835731415
UBERON_0002353,M0018172,0.5378136848171724
UBERON_0002494,M0015833,0.8446103185069469
UBERON_0002494,M0013957,0.5571842326331125
UBERON_0002494,M0003026,0.5563748402094503
UBERON_0002494,M0014344,0.553374599437517
